csi_time,predicted_mcs
11092918.0,573.5
11093112.0,344.1
11093229.0,344.1
11093533.0,344.1
11093548.0,344.1
11093639.0,309.7
11093843.0,309.7
11093952.0,275.3
11093963.0,309.7
11094064.0,344.1
11094475.0,309.7
11094724.0,344.1
11094795.0,309.7
11095523.0,573.5
11095733.0,573.5
11095835.0,573.5
11095845.0,573.5
11096154.0,344.1
11096468.0,516.2
11096485.0,573.5
11096670.0,344.1
11096783.0,573.5
11096887.0,573.5
11097315.0,573.5
11097510.0,573.5
11097796.0,516.2
11098260.0,573.5
11098571.0,516.2
11098876.0,573.5
11098989.0,573.5
11099716.0,573.5
11100248.0,573.5
11100464.0,344.1
11100780.0,573.5
11101001.0,573.5
11101080.0,573.5
11101178.0,573.5
11101189.0,573.5
11101488.0,309.7
11101505.0,573.5
11144886.0,573.5
11145200.0,344.1
11145308.0,573.5
11145315.0,344.1
11145424.0,573.5
11145524.0,573.5
11145639.0,344.1
11146279.0,573.5
11146437.0,573.5
11146792.0,573.5
11147087.0,573.5
11147099.0,573.5
11147203.0,573.5
11147406.0,344.1
11147513.0,573.5
11147628.0,573.5
11147931.0,573.5
11148148.0,573.5
11149081.0,344.1
11149716.0,344.1
11149730.0,344.1
11150554.0,573.5
11150754.0,573.5
11150870.0,573.5
11151289.0,344.1
11151492.0,573.5
11151603.0,344.1
11152010.0,344.1
11152128.0,573.5
11152135.0,344.1
11152581.0,344.1
11153895.0,344.1
11154198.0,344.1
11154507.0,344.1
11154616.0,344.1
11154723.0,573.5
11220181.0,458.8
11220718.0,458.8
11220915.0,516.2
11221027.0,458.8
11221132.0,344.1
11221335.0,458.8
11221543.0,516.2
11222208.0,516.2
11222314.0,458.8
11222624.0,458.8
11222799.0,344.1
11223222.0,458.8
11224370.0,412.9
11224597.0,458.8
11224978.0,344.1
11225314.0,458.8
11225548.0,458.8
11225853.0,458.8
11226796.0,458.8
11226891.0,458.8
11227517.0,458.8
11227831.0,458.8
11227848.0,458.8
11228148.0,516.2
11228279.0,458.8
11228669.0,458.8
11228876.0,458.8
11228895.0,344.1
11229090.0,458.8
11229294.0,516.2
11265526.0,458.8
11266009.0,344.1
11266749.0,573.5
11267143.0,458.8
11267257.0,458.8
11267458.0,458.8
11267567.0,573.5
11267788.0,458.8
11268290.0,573.5
11268318.0,458.8
11268543.0,573.5
11268820.0,573.5
11269143.0,573.5
11269337.0,573.5
11269446.0,573.5
11269551.0,573.5
11269656.0,458.8
11269765.0,573.5
11269982.0,573.5
11270177.0,573.5
11270187.0,573.5
11270284.0,573.5
11270408.0,458.8
11270748.0,573.5
11270809.0,573.5
11271046.0,573.5
11271366.0,573.5
11271955.0,573.5
11271967.0,573.5
11272061.0,573.5
11272173.0,573.5
11272395.0,573.5
11272487.0,573.5
11272598.0,573.5
11273319.0,573.5
11273329.0,344.1
11273756.0,573.5
11274057.0,458.8
11274182.0,344.1
11274479.0,573.5
11274575.0,573.5
11331579.0,344.1
11331679.0,344.1
11331778.0,344.1
11331900.0,344.1
11332316.0,344.1
11332511.0,344.1
11332818.0,344.1
11333037.0,344.1
11333772.0,344.1
11334287.0,344.1
11334407.0,344.1
11334596.0,344.1
11334812.0,344.1
11335871.0,344.1
11335966.0,344.1
11336186.0,344.1
11337029.0,344.1
11337152.0,344.1
11337223.0,344.1
11337238.0,344.1
11337461.0,344.1
11337530.0,344.1
11337540.0,344.1
11338189.0,344.1
11338381.0,344.1
11340177.0,344.1
11340369.0,344.1
11340468.0,344.1
11340921.0,309.7
11422265.0,516.2
11423315.0,458.8
11423510.0,573.5
11423942.0,516.2
11424146.0,573.5
11424567.0,573.5
11425307.0,458.8
11425602.0,516.2
11425810.0,458.8
11425915.0,516.2
11426231.0,458.8
11427069.0,619.4
11427375.0,458.8
11427482.0,458.8
11428619.0,458.8
11428731.0,458.8
11429157.0,458.8
11429257.0,516.2
11429664.0,458.8
11429888.0,516.2
11430190.0,619.4
11430521.0,458.8
11432184.0,516.2
11469443.0,573.5
11469947.0,458.8
11470057.0,458.8
11470261.0,458.8
11470362.0,458.8
11470805.0,458.8
11470991.0,458.8
11471107.0,458.8
11471129.0,458.8
11471436.0,458.8
11472150.0,458.8
11472249.0,458.8
11472263.0,458.8
11472673.0,458.8
11472768.0,458.8
11473295.0,458.8
11473817.0,458.8
11474020.0,458.8
11475386.0,458.8
11475590.0,458.8
11475690.0,573.5
